"RA_2006_CODE","RA_2006_NAME","POA_2006_CODE","POA_2006_CODE","RATIO","PERCENT"
"12","Outer Regional Australia","2395","2395",1,100
"12","Outer Regional Australia","2396","2396",0.1139,11.39
"12","Outer Regional Australia","2397","2397",1,100
"12","Outer Regional Australia","2399","2399",1,100
"12","Outer Regional Australia","2400","2400",0.9519,95.19
"12","Outer Regional Australia","2401","2401",1,100
"12","Outer Regional Australia","2402","2402",1,100
"12","Outer Regional Australia","2403","2403",1,100
"12","Outer Regional Australia","2404","2404",1,100
"12","Outer Regional Australia","2405","2405",0.0838,8.38
"12","Outer Regional Australia","2408","2408",1,100
"12","Outer Regional Australia","2409","2409",1,100
"12","Outer Regional Australia","2410","2410",1,100
"12","Outer Regional Australia","2411","2411",1,100
"12","Outer Regional Australia","2420","2420",0.0386,3.86
"12","Outer Regional Australia","2422","2422",0.5154,51.54
"12","Outer Regional Australia","2423","2423",0.293,29.3
"12","Outer Regional Australia","2424","2424",1,100
"12","Outer Regional Australia","2428","2428",0.0311,3.11
